Pool name, Weekday, Time period, Start time, End time, Note
Balboa,Tuesday,Afternoon Family Swim,2:30PM,3:30PM,
Balboa,Thursday,Afternoon Family Swim,2:30PM,4:00PM,
Balboa,Saturday,Afternoon Family Swim,2:30PM,3:30PM,
Balboa,Saturday,Afternoon Family Swim,12:30PM,2:00PM,
Balboa,Tuesday,Morning Family Swim,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Tuesday,Afternoon Family Swim,12:30PM,2:00PM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Morning Family Swim,9:00AM,10:15AM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Afternoon Family Swim,2:00PM,3:00PM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Morning Family Swim,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Friday,Afternoon Family Swim,1:30PM,3:00PM,secret family swim in small pool or steps during lap swim
Balboa,Saturday,Afternoon Family Swim,4:00PM,5:00PM,secret family swim in small pool or steps during lap swim
