SF Pools Working Family Accessibility, Family Swim Saturday (hours), Family Swim Sunday (hours), Family Swim Monday After Work (hours), Family Swim Tuesday After Work (hours, Family Swim Wednesday After Work (Hours), Family Swim Thursday After Work (Hours), Family Swim Friday After Work (Hours)
Balboa Pool,3.0,0.0,1.0,0.0,1.0,0.0,0.0
Coffman Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Garfield Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Hamilton Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Martin Luther King Jr Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Mission Community Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
North Beach Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Rossi Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Sava Pool,1.0,0.0,1.0,0.0,1.0,0.0,0.0
