Pool name, Weekday, Time period, Start time, End time, Note
North Beach,Tuesday,Afternoon Family Swim,3:30PM,5:00PM,
Hamilton,Tuesday,Afternoon Family Swim,1:30PM,3:00PM,
Rossi,Tuesday,Morning Family Swim,10:15AM,11:15AM,
Mission,Tuesday,Afternoon Family Swim,4:00PM,5:00PM,
Garfield,Tuesday,Afternoon Family Swim,2:30PM,3:30PM,
Sava,Tuesday,Afternoon Family Swim,3:30PM,5:00PM,
Balboa,Tuesday,Afternoon Family Swim,2:30PM,3:30PM,
Balboa,Tuesday,Afternoon Family Swim,2:30PM,3:30PM,
Martin Luther King Jr,Tuesday,Afternoon Family Swim,4:00PM,5:30PM,
Coffman,Tuesday,Afternoon Family Swim,2:00PM,4:00PM,
Hamilton,Wednesday,Afternoon Family Swim,1:30PM,3:30PM,
Rossi,Wednesday,Afternoon Family Swim,2:00PM,3:30PM,
Mission,Wednesday,Afternoon Family Swim,2:30PM,3:45PM,
Garfield,Wednesday,Afternoon Family Swim,2:30PM,3:30PM,
Sava,Wednesday,Afternoon Family Swim,2:30PM,3:30PM,
Martin Luther King Jr,Wednesday,Afternoon Family Swim,4:00PM,5:30PM,
Coffman,Wednesday,Afternoon Family Swim,1:30PM,2:30PM,
Coffman,Wednesday,Evening Family Swim,5:45PM,7:00PM,
North Beach,Thursday,Afternoon Family Swim,2:15PM,3:15PM,
North Beach,Thursday,Afternoon Family Swim,4:15PM,5:30PM,
Rossi,Thursday,Evening Family Swim,6:30PM,7:30PM,
Mission,Thursday,Afternoon Family Swim,3:00PM,5:00PM,
Garfield,Thursday,Afternoon Family Swim,2:30PM,3:30PM,
Sava,Thursday,Afternoon Family Swim,2:30PM,5:00PM,
Balboa,Thursday,Afternoon Family Swim,2:30PM,4:00PM,
Balboa,Thursday,Evening Family Swim,5:45PM,7:00PM,
Martin Luther King Jr,Thursday,Afternoon Family Swim,4:00PM,5:30PM,
Coffman,Thursday,Afternoon Family Swim,1:00PM,3:00PM,
North Beach,Friday,Evening Family Swim,5:30PM,7:00PM,
Hamilton,Friday,Afternoon Family Swim,1:30PM,3:30PM,
Hamilton,Friday,Evening Family Swim,6:30PM,8:00PM,
Rossi,Friday,Afternoon Family Swim,2:00PM,3:30PM,
Mission,Friday,Afternoon Family Swim,2:30PM,3:45PM,
Garfield,Friday,Afternoon Family Swim,2:30PM,3:30PM,
Sava,Friday,Evening Family Swim,5:30PM,7:00PM,
Martin Luther King Jr,Friday,Afternoon Family Swim,4:00PM,5:30PM,
Coffman,Friday,Afternoon Family Swim,2:00PM,3:00PM,
North Beach,Saturday,Afternoon Family Swim,12:00PM,1:15PM,
North Beach,Saturday,Afternoon Family Swim,1:45PM,3:00PM,
Hamilton,Saturday,Afternoon Family Swim,1:30PM,3:30PM,
Rossi,Saturday,Afternoon Family Swim,12:30PM,2:00PM,
Rossi,Saturday,Afternoon Family Swim,2:30PM,3:30PM,
Mission,Saturday,Morning Family Swim,10:45AM,12:00PM,
Mission,Saturday,Afternoon Family Swim,1:30PM,3:00PM,
Garfield,Saturday,Morning Family Swim,9:00AM,11:00AM,
Garfield,Saturday,Afternoon Family Swim,12:15PM,1:15PM,
Sava,Saturday,Morning Family Swim,11:30AM,1:00PM,
