SF Pools Working Family Accessibility, Family Swim Saturday (hours), Family Swim Sunday (hours), Family Swim Monday After Work (hours), Family Swim Tuesday After Work (hours, Family Swim Wednesday After Work (Hours), Family Swim Thursday After Work (Hours), Family Swim Friday After Work (Hours)
Balboa Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Coffman Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Garfield Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Hamilton Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Martin Luther King Jr Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Mission Community Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
North Beach Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Rossi Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
Sava Pool,14.5,3.0,0.0,0.0,2.25,2.0,5.0
