Pool name, Weekday, Start time, End time, Note
Garfield Pool,Sunday,12:30PM,2:00PM,Family Swim - Small Pool
Garfield Pool,Sunday,2:30PM,4:30PM,Family Swim
Garfield Pool,Monday,7:00AM,8:45AM,Family Swim - Small Pool
Garfield Pool,Monday,2:00PM,3:45PM,Family Swim - Small Pool
Garfield Pool,Monday,5:15PM,6:30PM,Family Swim - Small Pool
Garfield Pool,Tuesday,2:00PM,3:30PM,Family Swim - Small Pool
Garfield Pool,Wednesday,7:00AM,8:45AM,Family Swim - Small Pool
Garfield Pool,Wednesday,9:00AM,10:45AM,Parent Child Swim in Small Pool
Garfield Pool,Wednesday,2:00PM,3:45PM,Family Swim - Small Pool
Garfield Pool,Wednesday,5:15PM,7:00PM,Family Swim - Small Pool
Garfield Pool,Thursday,9:00AM,10:45AM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,9:30AM,10:30AM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,2:00PM,3:30PM,Family Swim - Small Pool
North Beach Pool,Saturday,1:45PM,3:00PM,Family Swim
North Beach Pool,Saturday,3:30PM,5:00PM,Family Swim
North Beach Pool,Tuesday,3:30PM,5:00PM,Family Swim
North Beach Pool,Wednesday,5:30PM,6:30PM,Family Swim
North Beach Pool,Thursday,4:15PM,5:30PM,Family Swim
North Beach Pool,Friday,9:00AM,10:15AM,Family Swim
North Beach Pool,Friday,5:30PM,7:00PM,Family Swim
