Pool name, Weekday, Start time, End time, Note
North Beach,Tuesday,3:30PM,5:00PM,Family Swim
North Beach,Tuesday,3:30PM,5:00PM,Family Swim
North Beach,Wednesday,9:00AM,10:30AM,Parent Child Swim
North Beach,Wednesday,9:00AM,10:30AM,Parent Child Swim
North Beach,Thursday,2:15PM,3:15PM,Family Swim
North Beach,Thursday,2:15PM,3:15PM,Family Swim
North Beach,Thursday,4:15PM,5:30PM,Family Swim
North Beach,Thursday,4:15PM,5:30PM,Family Swim
North Beach,Friday,9:00AM,10:30AM,Parent Child Swim
North Beach,Friday,9:00AM,10:30AM,Parent Child Swim
North Beach,Friday,5:30PM,7:00PM,Family Swim
North Beach,Friday,5:30PM,7:00PM,Family Swim
North Beach,Saturday,12:00PM,1:15PM,Family Swim
North Beach,Saturday,12:00PM,1:15PM,Family Swim
North Beach,Saturday,1:45PM,3:00PM,Family Swim
North Beach,Saturday,1:45PM,3:00PM,Family Swim
Hamilton,Tuesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Tuesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Tuesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Tuesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Tuesday,1:30PM,3:00PM,Family Swim
Hamilton,Tuesday,1:30PM,3:00PM,Family Swim
Hamilton,Tuesday,1:30PM,3:00PM,Family Swim in Small Pool
Hamilton,Tuesday,1:30PM,3:00PM,Family Swim in Small Pool
Hamilton,Wednesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Wednesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Wednesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Wednesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Wednesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Wednesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Wednesday,1:30PM,3:30PM,Family Swim
Hamilton,Wednesday,1:30PM,3:30PM,Family Swim
Hamilton,Wednesday,1:30PM,3:30PM,Family Swim in Small Pool
Hamilton,Wednesday,1:30PM,3:30PM,Family Swim in Small Pool
Hamilton,Wednesday,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton,Wednesday,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton,Thursday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Thursday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Friday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Friday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Friday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Friday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Friday,11:30AM,1:00PM,Family Swim in Small Pool
