Pool name, Weekday, Time period, Start time, End time, Note
North Beach,Tuesday,Morning Family Swim,11:30AM,1:00PM,
North Beach,Tuesday,Afternoon Family Swim,11:30AM,1:00PM,
North Beach,Tuesday,Afternoon Family Swim,3:30PM,5:00PM,
Hamilton,Tuesday,Afternoon Family Swim,1:30PM,3:30PM,
Rossi,Tuesday,Afternoon Family Swim,2:00PM,3:30PM,
Mission,Tuesday,Afternoon Family Swim,2:00PM,3:30PM,
Garfield,Tuesday,Afternoon Family Swim,12:45PM,2:00PM,
Sava,Tuesday,Afternoon Family Swim,1:00PM,3:00PM,
Balboa,Tuesday,Afternoon Family Swim,1:30PM,3:00PM,
Martin Luther King Jr,Tuesday,Afternoon Family Swim,1:15PM,3:15PM,
Coffman,Tuesday,Afternoon Family Swim,1:00PM,3:00PM,
North Beach,Wednesday,Afternoon Family Swim,2:00PM,3:30PM,
Hamilton,Wednesday,Afternoon Family Swim,1:30PM,3:30PM,
Hamilton,Wednesday,Evening Family Swim,6:30PM,8:00PM,
Rossi,Wednesday,Evening Family Swim,6:30PM,7:30PM,
Rossi,Wednesday,Morning Family Swim,11:30AM,1:30PM,
Rossi,Wednesday,Afternoon Family Swim,11:30AM,1:30PM,
Mission,Wednesday,Afternoon Family Swim,2:00PM,3:30PM,
Garfield,Wednesday,Afternoon Family Swim,12:45PM,2:00PM,
Sava,Wednesday,Afternoon Family Swim,1:00PM,3:00PM,
Balboa,Wednesday,Afternoon Family Swim,1:30PM,3:00PM,
Martin Luther King Jr,Wednesday,Afternoon Family Swim,1:15PM,3:15PM,
Coffman,Wednesday,Afternoon Family Swim,1:00PM,3:00PM,
Coffman,Wednesday,Evening Family Swim,5:45PM,7:00PM,
North Beach,Thursday,Morning Family Swim,11:15AM,12:15PM,
North Beach,Thursday,Afternoon Family Swim,1:45PM,3:15PM,
Hamilton,Thursday,Afternoon Family Swim,1:30PM,3:30PM,
Rossi,Thursday,Afternoon Family Swim,2:00PM,3:30PM,
Rossi,Thursday,Evening Family Swim,6:30PM,7:30PM,
Mission,Thursday,Afternoon Family Swim,2:00PM,3:30PM,
Garfield,Thursday,Afternoon Family Swim,12:45PM,2:00PM,
Sava,Thursday,Afternoon Family Swim,1:00PM,3:00PM,
Balboa,Thursday,Evening Family Swim,5:45PM,7:00PM,
Martin Luther King Jr,Thursday,Afternoon Family Swim,1:15PM,3:15PM,
Coffman,Thursday,Afternoon Family Swim,1:00PM,3:00PM,
North Beach,Friday,Afternoon Family Swim,2:00PM,3:30PM,
North Beach,Friday,Evening Family Swim,5:30PM,7:00PM,
Hamilton,Friday,Afternoon Family Swim,1:30PM,3:30PM,
Hamilton,Friday,Evening Family Swim,6:30PM,8:00PM,
Rossi,Friday,Morning Family Swim,11:30AM,1:30PM,
Rossi,Friday,Afternoon Family Swim,11:30AM,1:30PM,
Mission,Friday,Morning Family Swim,11:00AM,12:30PM,
Mission,Friday,Evening Family Swim,5:30PM,7:00PM,
Garfield,Friday,Afternoon Family Swim,12:45PM,2:00PM,
Garfield,Friday,Afternoon Family Swim,3:00PM,5:00PM,
Sava,Friday,Afternoon Family Swim,1:00PM,3:00PM,
Sava,Friday,Evening Family Swim,5:30PM,7:30PM,
Balboa,Friday,Afternoon Family Swim,1:45PM,3:00PM,
Martin Luther King Jr,Friday,Afternoon Family Swim,1:15PM,2:45PM,
Coffman,Friday,Afternoon Family Swim,1:00PM,3:00PM,
North Beach,Saturday,Afternoon Family Swim,12:00PM,1:15PM,
North Beach,Saturday,Afternoon Family Swim,1:45PM,3:00PM,
Hamilton,Saturday,Afternoon Family Swim,1:30PM,3:30PM,
Rossi,Saturday,Afternoon Family Swim,12:30PM,2:00PM,
Rossi,Saturday,Afternoon Family Swim,2:30PM,3:30PM,
Mission,Saturday,Morning Family Swim,10:45AM,12:30PM,
Mission,Saturday,Afternoon Family Swim,2:00PM,3:15PM,
Garfield,Saturday,Afternoon Family Swim,12:15PM,2:15PM,
Sava,Saturday,Morning Family Swim,11:30AM,1:00PM,
Sava,Saturday,Afternoon Family Swim,11:30AM,1:00PM,
Sava,Saturday,Afternoon Family Swim,1:30PM,3:00PM,
Balboa,Saturday,Afternoon Family Swim,12:30PM,2:00PM,
Balboa,Saturday,Afternoon Family Swim,2:30PM,3:30PM,
Martin Luther King Jr,Saturday,Afternoon Family Swim,2:00PM,3:30PM,
Coffman,Saturday,Afternoon Family Swim,1:00PM,2:00PM,
Coffman,Saturday,Afternoon Family Swim,2:15PM,3:45PM,
Balboa,Tuesday,Morning Family Swim,7:00AM,8:30AM,secret family swim in small pool or steps during lap swim
Hamilton,Tuesday,Morning Family Swim,6:30AM,8:30AM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Afternoon Family Swim,3:30PM,5:00PM,secret family swim in small pool or steps during lap swim
Hamilton,Wednesday,Morning Family Swim,6:30AM,8:30AM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Morning Family Swim,7:00AM,8:30AM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Afternoon Family Swim,3:30PM,5:30PM,secret family swim in small pool or steps during lap swim
Balboa,Friday,Morning Family Swim,11:30AM,12:30PM,secret family swim in small pool or steps during lap swim
Hamilton,Friday,Morning Family Swim,6:30AM,8:30AM,secret family swim in small pool or steps during lap swim
Balboa,Saturday,Afternoon Family Swim,4:00PM,5:00PM,secret family swim in small pool or steps during lap swim
Hamilton,Saturday,Afternoon Family Swim,4:00PM,5:00PM,secret family swim in small pool or steps during lap swim
